nid,nid_old,heading,changed_from
895,895,Election sermons--Massachusetts,
894,894,Election sermons--Massachusetts--Early works to 1800,
896,896,Elections--New York (State),
900,900,Electrical injuries--Scotland--Early works to 1800,
907,907|908,Electricity,
901,901|902|906,Electricity--Early works to 1850,
903,903,Electricity--Experiments,
904,904|905,Electricity in medicine,
899,899,Electric machines,
898,898,Electric machines--Medicine,
909,909,Electrochemistry,
910,910,Electrometer,
912,912,Electrotherapeutics,
911,911,Electrotherapeutics--Instruments,
913,913,"Elegiac poetry, English--18th century",
914,914,"Eliot, Andrew, 1718-1778",
916,916,"Elizabeth, New Jersey--History",
915,915,Elizabeth (N.J.)--History,
917,917,Embalming--Early works to 1800,
918,918,Embarazo--Obras anteriores a 1800,
919,919,"Embargo, 1807-1809",
920,920,Embezzlement--New Jersey,
921,921,"Emory, John, 1789-1835. Reply to the objections against the position of a personal assurance of the pardon of sin by a direct communication with the Holy Spirit",
923,923,Emotions,
922,922,Emotions--Early works to 1850,
924,924,Enciclopedias Estrangeiras,
925,925,Enclopedias,
926,926,Encyclopedias--France--18th century,
927,927,Encyclopedias--France--19th century,
928,928,Endocrine glands,
931,931,England,
929,929,England--Church history--17th century--Poetry,
930,930,England--Leicestershire,
932,932,English fiction--18th century,
933,933,English language--Dictionaries--German,
936,936|938,English language--Grammar,
